,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Jamestown,0,AU,1562511323,85,-33.21,138.6,45.72,1.45
1,Puerto Ayora,75,EC,1562511323,73,-0.74,-90.35,75.2,6.93
2,Provideniya,81,RU,1562511323,60,64.42,-173.23,58.32,0.83
3,Atuona,27,PF,1562511324,79,-9.8,-139.03,79.56,18.07
4,Ushuaia,0,AR,1562511189,93,-54.81,-68.31,35.6,3.62
5,Albany,1,US,1562511324,56,42.65,-73.75,77.0,6.93
6,Victoria,75,BN,1562511062,83,5.28,115.24,84.2,2.82
7,Ukholovo,100,RU,1562511324,47,53.79,40.49,64.99,3.0
8,Hithadhoo,0,MV,1562511324,71,-0.6,73.08,84.42,9.69
9,Wexford,90,US,1562511325,94,40.63,-80.06,79.0,1.7
10,Chihuahua,90,MX,1562511072,88,28.66,-106.08,73.99,6.93
11,Busselton,22,AU,1562511325,74,-33.64,115.35,55.0,16.35
12,Punta Arenas,90,CL,1562511325,100,-53.16,-70.91,37.4,4.7
13,Arraial do Cabo,75,BR,1562511325,77,-22.97,-42.02,68.0,12.75
14,Mahebourg,40,MU,1562511303,78,-20.41,57.7,75.2,8.05
15,Dombasle-sur-Meurthe,0,FR,1562511326,47,48.62,6.35,84.2,12.75
16,Mount Isa,2,AU,1562511326,68,-20.73,139.49,68.0,12.75
17,Aykhal,90,RU,1562511326,93,65.95,111.51,53.6,4.47
18,Obera,0,AR,1562511326,44,-27.49,-55.12,53.1,3.31
19,Mataura,100,NZ,1562511327,86,-46.19,168.86,43.0,20.0
20,Nikolskoye,40,RU,1562511327,48,59.7,30.79,66.2,4.47
21,Luoyang,100,CN,1562511327,57,34.66,112.42,73.8,11.07
22,Lubango,0,AO,1562511248,13,-14.92,13.49,75.2,16.11
23,Tuktoyaktuk,90,CA,1562511327,93,69.44,-133.03,37.4,9.17
24,Airai,18,TL,1562511327,78,-8.93,125.41,66.06,5.46
25,Cape Town,12,ZA,1562511296,67,-33.93,18.42,64.0,15.01
26,Hasaki,75,JP,1562511328,100,35.73,140.83,64.4,21.92
27,Butaritari,100,KI,1562511328,81,3.07,172.79,81.0,10.58
28,Kalmunai,76,LK,1562511328,72,7.42,81.82,81.36,3.78
29,Seoul,75,KR,1562511035,56,37.57,126.98,75.2,3.36
30,Sao Filipe,0,CV,1562511328,83,14.9,-24.5,72.54,20.6
31,Saint George,20,GR,1562511329,30,39.45,22.34,100.4,13.87
32,Beringovskiy,99,RU,1562511329,97,63.05,179.32,46.62,2.35
33,Bulawayo,0,ZW,1562511329,8,-20.16,28.59,74.52,9.28
34,Laurel,1,US,1562511329,73,39.1,-76.85,80.6,5.68
35,Saint-Francois,0,FR,1562511329,35,46.42,3.91,87.8,10.29
36,Verkhoyansk,98,RU,1562511330,68,67.55,133.39,55.44,1.52
37,Yellowknife,75,CA,1562511091,66,62.45,-114.38,51.8,13.87
38,Durango,40,MX,1562511330,59,24.02,-104.67,69.01,2.24
39,Ust-Maya,100,RU,1562511330,94,60.42,134.54,51.48,0.98
40,Nueva Loja,90,EC,1562511280,94,0.08,-76.88,73.4,2.24
41,New Norfolk,58,AU,1562511330,93,-42.78,147.06,41.0,9.17
42,Basco,1,US,1562511331,69,40.33,-91.2,77.0,4.7
43,Ishigaki,100,JP,1562511331,86,24.34,124.16,84.06,15.64
44,Alice Springs,0,AU,1562511331,62,-23.7,133.88,51.8,7.54
45,Hobart,58,AU,1562511331,93,-42.88,147.33,41.0,9.17
46,Bafia,100,CM,1562511332,85,4.74,11.22,71.1,11.3
47,Bluff,97,AU,1562511332,82,-23.58,149.07,62.64,14.34
48,Rikitea,100,PF,1562511332,81,-23.12,-134.97,70.74,35.05
49,Cabo San Lucas,90,MX,1562511038,32,22.89,-109.91,88.0,12.33
50,Lasa,20,CY,1562511332,74,34.92,32.53,86.0,13.87
51,Marienburg,40,DE,1562511333,42,52.12,9.98,66.99,14.99
52,El Higo,0,MX,1562511333,72,21.77,-98.45,83.52,1.14
53,Sioux Lookout,90,CA,1562511088,87,50.1,-91.92,62.6,4.25
54,Kavieng,98,PG,1562511333,72,-2.57,150.8,83.34,7.85
55,La Ronge,90,CA,1562511333,87,55.1,-105.3,60.8,4.7
56,Klaksvik,40,FO,1562511334,76,62.23,-6.59,51.8,14.99
57,Trincomalee,92,LK,1562511334,71,8.58,81.23,80.64,4.81
58,Sibolga,100,ID,1562511334,71,1.74,98.78,83.88,4.94
59,Huarmey,100,PE,1562511334,88,-10.07,-78.15,63.36,12.75
60,Ginir,1,ET,1562511334,75,7.14,40.71,65.7,5.46
61,Kieta,100,PG,1562511335,86,-6.22,155.63,79.02,9.51
62,Hermanus,100,ZA,1562511335,78,-34.42,19.24,62.01,5.01
63,Dikson,2,RU,1562511335,89,73.51,80.55,34.92,14.58
64,Flinders,75,AU,1562511335,76,-34.58,150.85,57.99,5.82
65,Komsomolskiy,100,RU,1562511335,49,67.55,63.78,56.88,15.86
66,Dinar,40,TR,1562511336,22,38.07,30.16,91.4,10.29
67,Krasnoye,0,RU,1562511336,40,44.87,39.46,86.0,4.47
68,Bambous Virieux,40,MU,1562511336,78,-20.34,57.76,75.2,8.05
69,Saint-Philippe,1,CA,1562511337,56,45.36,-73.48,71.01,5.82
70,Mount Gambier,0,AU,1562511337,100,-37.83,140.78,44.6,6.93
71,Talnakh,20,RU,1562511337,66,69.49,88.39,55.4,26.84
72,Yumen,73,CN,1562511337,58,40.29,97.04,61.38,3.62
73,Carnarvon,22,ZA,1562511337,39,-30.97,22.13,56.7,16.82
